disability_category,accommodation_type,functional_limitation,cost_tier,employer_size,industry,employee_tenure_years,days_to_implement,prior_requests,outcome_positive
Neurological,Leave of Absence,Dexterity,$0 (No Cost),Small (<50),Education,1.2,5,0,1
Musculoskeletal,Remote Work / Telework,Dexterity,$0 (No Cost),Mid-size (50–499),Healthcare,3.0,15,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Dexterity,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,6.4,30,0,1
Musculoskeletal,Policy Change / Exemption,Communication,$0 (No Cost),Mid-size (50–499),Education,2.4,13,0,1
Neurological,Assistive Technology,Vision,$1–$500,Mid-size (50–499),Technology,2.3,54,0,1
Sensory (Vision/Hearing),Policy Change / Exemption,Communication,$0 (No Cost),Large (500+),Manufacturing,3.5,61,2,1
Chronic Illness,Assistive Technology,Stamina/Endurance,$1–$500,Mid-size (50–499),Government/Public Sector,1.4,1,0,1
Cognitive,Ergonomic Equipment,Concentration/Focus,$1–$500,Mid-size (50–499),Education,0.5,35,1,1
Neurological,Physical Modification,Stamina/Endurance,$0 (No Cost),Large (500+),Healthcare,10.9,16,0,0
Neurological,Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Finance/Insurance,0.5,48,3,1
Chronic Illness,Policy Change / Exemption,Stamina/Endurance,$0 (No Cost),Small (<50),Finance/Insurance,4.1,36,1,1
Musculoskeletal,Assistive Technology,Communication,$1–$500,Large (500+),Manufacturing,0.5,29,1,1
Chronic Illness,Flexible Scheduling,Dexterity,$1–$500,Small (<50),Government/Public Sector,0.5,23,0,1
Neurological,Flexible Scheduling,Stamina/Endurance,$1–$500,Mid-size (50–499),Government/Public Sector,3.1,5,2,1
Psychiatric,Physical Modification,Mobility,$0 (No Cost),Mid-size (50–499),Manufacturing,1.1,105,0,1
Psychiatric,Flexible Scheduling,Hearing,$0 (No Cost),Large (500+),Technology,8.3,8,0,1
Chronic Illness,Remote Work / Telework,Dexterity,$1–$500,Small (<50),Finance/Insurance,1.2,77,1,0
Psychiatric,Flexible Scheduling,Hearing,$0 (No Cost),Small (<50),Finance/Insurance,9.3,41,1,1
Musculoskeletal,Assistive Technology,Hearing,$1–$500,Large (500+),Education,8.1,16,0,0
Musculoskeletal,Remote Work / Telework,Vision,$0 (No Cost),Small (<50),Healthcare,13.3,14,0,0
Psychiatric,Assistive Technology,Dexterity,$0 (No Cost),Mid-size (50–499),Education,4.2,5,1,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,$1–$500,Large (500+),Finance/Insurance,10.8,26,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Finance/Insurance,0.9,5,1,1
Psychiatric,Physical Modification,Stamina/Endurance,$1–$500,Small (<50),Education,8.1,56,1,1
Chronic Illness,Remote Work / Telework,Dexterity,$0 (No Cost),Mid-size (50–499),Manufacturing,1.5,31,1,0
Chronic Illness,Physical Modification,Communication,"$501–$2,000",Large (500+),Healthcare,9.1,24,4,1
Musculoskeletal,Flexible Scheduling,Vision,"$501–$2,000",Mid-size (50–499),Education,5.4,27,1,1
Psychiatric,Flexible Scheduling,Concentration/Focus,"$501–$2,000",Small (<50),Technology,3.6,32,0,1
Neurological,Remote Work / Telework,Communication,$1–$500,Small (<50),Retail/Hospitality,4.6,19,1,0
Psychiatric,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Education,4.3,21,2,1
Musculoskeletal,Remote Work / Telework,Communication,$1–$500,Large (500+),Retail/Hospitality,1.2,83,3,1
Cognitive,Leave of Absence,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,4.4,52,1,1
Cognitive,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Finance/Insurance,13.4,40,1,1
Chronic Illness,Assistive Technology,Vision,$1–$500,Mid-size (50–499),Technology,4.0,16,0,1
Musculoskeletal,Physical Modification,Communication,$0 (No Cost),Small (<50),Manufacturing,0.6,3,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,8.5,37,0,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,"$501–$2,000",Large (500+),Education,1.3,27,1,1
Musculoskeletal,Remote Work / Telework,Communication,$0 (No Cost),Large (500+),Manufacturing,5.7,21,0,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,$1–$500,Small (<50),Education,0.5,24,1,1
Psychiatric,Flexible Scheduling,Dexterity,$1–$500,Mid-size (50–499),Healthcare,1.7,8,0,1
Psychiatric,Leave of Absence,Dexterity,$0 (No Cost),Small (<50),Government/Public Sector,0.5,11,1,1
Neurological,Ergonomic Equipment,Mobility,"$501–$2,000",Small (<50),Retail/Hospitality,3.7,52,3,1
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,3.1,2,1,1
Psychiatric,Physical Modification,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Healthcare,3.3,47,1,0
Chronic Illness,Leave of Absence,Mobility,$1–$500,Large (500+),Government/Public Sector,7.3,67,0,0
Cognitive,Remote Work / Telework,Vision,$0 (No Cost),Large (500+),Healthcare,2.1,36,0,1
Neurological,Leave of Absence,Stamina/Endurance,$0 (No Cost),Small (<50),Retail/Hospitality,1.4,35,2,0
Chronic Illness,Physical Modification,Vision,$0 (No Cost),Large (500+),Government/Public Sector,0.5,11,2,0
Cognitive,Policy Change / Exemption,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,3.5,12,0,1
Psychiatric,Ergonomic Equipment,Mobility,$0 (No Cost),Small (<50),Technology,6.7,18,2,1
Musculoskeletal,Flexible Scheduling,Communication,"$2,001+",Large (500+),Education,10.5,7,2,1
Musculoskeletal,Assistive Technology,Communication,$0 (No Cost),Small (<50),Finance/Insurance,0.5,12,1,0
Psychiatric,Assistive Technology,Hearing,"$501–$2,000",Mid-size (50–499),Technology,0.6,27,3,1
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Manufacturing,1.3,17,0,1
Musculoskeletal,Remote Work / Telework,Vision,"$2,001+",Small (<50),Finance/Insurance,9.8,29,0,1
Musculoskeletal,Ergonomic Equipment,Vision,$0 (No Cost),Large (500+),Retail/Hospitality,2.1,52,1,1
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Finance/Insurance,4.5,29,0,1
Psychiatric,Assistive Technology,Mobility,$1–$500,Large (500+),Technology,1.2,35,1,1
Cognitive,Policy Change / Exemption,Communication,$0 (No Cost),Small (<50),Finance/Insurance,4.8,5,0,1
Psychiatric,Remote Work / Telework,Mobility,"$501–$2,000",Small (<50),Technology,0.5,52,0,0
Psychiatric,Assistive Technology,Dexterity,$0 (No Cost),Mid-size (50–499),Manufacturing,3.5,5,1,1
Musculoskeletal,Ergonomic Equipment,Communication,$1–$500,Large (500+),Manufacturing,0.6,16,1,1
Neurological,Assistive Technology,Hearing,$1–$500,Small (<50),Education,12.5,9,0,1
Neurological,Flexible Scheduling,Stamina/Endurance,$1–$500,Large (500+),Finance/Insurance,1.1,3,1,1
Neurological,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Government/Public Sector,0.5,27,1,0
Psychiatric,Ergonomic Equipment,Dexterity,$0 (No Cost),Mid-size (50–499),Manufacturing,8.5,37,0,0
Psychiatric,Remote Work / Telework,Communication,$0 (No Cost),Mid-size (50–499),Education,0.5,68,1,0
Chronic Illness,Assistive Technology,Vision,$0 (No Cost),Small (<50),Manufacturing,1.8,30,1,0
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,12.6,12,1,1
Sensory (Vision/Hearing),Assistive Technology,Hearing,"$2,001+",Mid-size (50–499),Technology,2.8,16,1,1
Sensory (Vision/Hearing),Policy Change / Exemption,Dexterity,$1–$500,Large (500+),Healthcare,7.2,4,0,1
Chronic Illness,Assistive Technology,Vision,$1–$500,Mid-size (50–499),Healthcare,0.5,18,2,0
Psychiatric,Ergonomic Equipment,Communication,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.5,24,2,0
Musculoskeletal,Remote Work / Telework,Vision,$0 (No Cost),Mid-size (50–499),Healthcare,8.1,36,1,0
Neurological,Assistive Technology,Mobility,$1–$500,Large (500+),Technology,0.7,44,1,0
Musculoskeletal,Policy Change / Exemption,Dexterity,$0 (No Cost),Large (500+),Retail/Hospitality,0.8,35,2,1
Chronic Illness,Assistive Technology,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Manufacturing,0.7,10,1,1
Neurological,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Education,23.3,8,2,1
Chronic Illness,Policy Change / Exemption,Communication,$1–$500,Mid-size (50–499),Retail/Hospitality,4.4,41,1,1
Chronic Illness,Remote Work / Telework,Mobility,"$2,001+",Mid-size (50–499),Technology,1.1,3,2,0
Neurological,Assistive Technology,Communication,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,5.9,91,1,1
Cognitive,Ergonomic Equipment,Vision,$0 (No Cost),Mid-size (50–499),Healthcare,2.1,13,0,0
Neurological,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Education,0.5,57,0,1
Chronic Illness,Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Technology,8.9,15,0,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$1–$500,Large (500+),Technology,6.8,38,0,1
Neurological,Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Education,6.4,8,1,1
Neurological,Flexible Scheduling,Dexterity,$1–$500,Mid-size (50–499),Manufacturing,1.0,25,0,1
Psychiatric,Physical Modification,Communication,$0 (No Cost),Large (500+),Healthcare,5.7,4,2,1
Musculoskeletal,Flexible Scheduling,Dexterity,$0 (No Cost),Small (<50),Manufacturing,2.1,32,1,1
Cognitive,Physical Modification,Vision,"$2,001+",Mid-size (50–499),Healthcare,3.6,8,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Dexterity,$0 (No Cost),Small (<50),Government/Public Sector,11.6,9,0,1
Psychiatric,Remote Work / Telework,Communication,$1–$500,Small (<50),Technology,9.3,17,0,1
Musculoskeletal,Remote Work / Telework,Communication,$0 (No Cost),Large (500+),Healthcare,3.4,20,1,0
Psychiatric,Physical Modification,Dexterity,"$2,001+",Large (500+),Retail/Hospitality,2.6,36,1,0
Psychiatric,Assistive Technology,Mobility,$0 (No Cost),Mid-size (50–499),Healthcare,4.9,34,0,1
Cognitive,Remote Work / Telework,Dexterity,$0 (No Cost),Small (<50),Education,7.4,27,1,0
Musculoskeletal,Policy Change / Exemption,Mobility,$1–$500,Large (500+),Healthcare,5.7,47,0,1
Musculoskeletal,Assistive Technology,Dexterity,$0 (No Cost),Mid-size (50–499),Education,2.2,33,2,1
Neurological,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Technology,0.5,35,0,1
Psychiatric,Policy Change / Exemption,Concentration/Focus,"$2,001+",Large (500+),Healthcare,2.9,9,0,0
Musculoskeletal,Remote Work / Telework,Hearing,$1–$500,Mid-size (50–499),Government/Public Sector,0.5,50,2,0
Sensory (Vision/Hearing),Flexible Scheduling,Vision,$1–$500,Small (<50),Healthcare,0.7,45,1,1
Sensory (Vision/Hearing),Assistive Technology,Vision,$1–$500,Small (<50),Manufacturing,6.0,28,0,1
Cognitive,Flexible Scheduling,Hearing,"$501–$2,000",Small (<50),Retail/Hospitality,3.4,44,2,1
Sensory (Vision/Hearing),Remote Work / Telework,Communication,"$501–$2,000",Mid-size (50–499),Technology,3.4,24,1,1
Neurological,Leave of Absence,Mobility,$1–$500,Small (<50),Healthcare,3.2,70,2,0
Chronic Illness,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,3.8,26,1,1
Cognitive,Leave of Absence,Communication,$0 (No Cost),Small (<50),Finance/Insurance,5.2,23,1,1
Sensory (Vision/Hearing),Policy Change / Exemption,Mobility,$1–$500,Small (<50),Finance/Insurance,7.7,33,0,1
Cognitive,Physical Modification,Hearing,"$501–$2,000",Large (500+),Finance/Insurance,8.3,80,0,1
Chronic Illness,Physical Modification,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,2.0,15,3,1
Chronic Illness,Physical Modification,Concentration/Focus,$0 (No Cost),Large (500+),Education,1.3,31,1,1
Psychiatric,Ergonomic Equipment,Mobility,$0 (No Cost),Small (<50),Government/Public Sector,10.4,16,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$1–$500,Small (<50),Manufacturing,1.1,23,0,1
Musculoskeletal,Flexible Scheduling,Mobility,"$501–$2,000",Small (<50),Manufacturing,17.5,11,1,1
Neurological,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Education,11.0,34,0,1
Sensory (Vision/Hearing),Assistive Technology,Mobility,$1–$500,Small (<50),Education,2.1,25,0,1
Cognitive,Flexible Scheduling,Stamina/Endurance,$1–$500,Mid-size (50–499),Technology,6.9,44,1,0
Cognitive,Physical Modification,Vision,"$2,001+",Small (<50),Finance/Insurance,11.9,52,1,0
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Healthcare,0.5,58,0,1
Sensory (Vision/Hearing),Policy Change / Exemption,Dexterity,"$2,001+",Small (<50),Technology,4.3,17,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Manufacturing,7.4,33,1,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$1–$500,Large (500+),Education,7.6,61,0,1
Psychiatric,Flexible Scheduling,Mobility,$0 (No Cost),Small (<50),Retail/Hospitality,0.5,11,1,1
Psychiatric,Remote Work / Telework,Hearing,$1–$500,Small (<50),Finance/Insurance,4.5,27,1,0
Chronic Illness,Remote Work / Telework,Stamina/Endurance,$1–$500,Large (500+),Retail/Hospitality,0.6,12,1,1
Neurological,Flexible Scheduling,Mobility,$0 (No Cost),Small (<50),Manufacturing,5.9,80,1,1
Cognitive,Remote Work / Telework,Communication,$0 (No Cost),Small (<50),Finance/Insurance,0.5,60,2,0
Musculoskeletal,Flexible Scheduling,Vision,$1–$500,Mid-size (50–499),Healthcare,2.8,37,0,1
Cognitive,Remote Work / Telework,Stamina/Endurance,$1–$500,Small (<50),Technology,2.7,37,2,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Large (500+),Education,1.6,13,1,1
Chronic Illness,Remote Work / Telework,Vision,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.8,65,3,1
Psychiatric,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Finance/Insurance,0.8,19,1,1
Neurological,Flexible Scheduling,Stamina/Endurance,"$501–$2,000",Small (<50),Manufacturing,1.8,14,0,0
Chronic Illness,Flexible Scheduling,Concentration/Focus,"$2,001+",Large (500+),Retail/Hospitality,8.6,54,2,1
Cognitive,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Manufacturing,21.2,18,1,1
Chronic Illness,Leave of Absence,Hearing,$0 (No Cost),Small (<50),Technology,1.0,15,0,1
Psychiatric,Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Large (500+),Government/Public Sector,26.4,45,1,1
Musculoskeletal,Policy Change / Exemption,Communication,$0 (No Cost),Mid-size (50–499),Government/Public Sector,16.5,8,1,1
Psychiatric,Assistive Technology,Stamina/Endurance,"$501–$2,000",Large (500+),Education,5.6,38,1,1
Psychiatric,Assistive Technology,Concentration/Focus,$1–$500,Small (<50),Retail/Hospitality,6.1,27,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Vision,$0 (No Cost),Small (<50),Manufacturing,0.5,43,1,1
Sensory (Vision/Hearing),Leave of Absence,Mobility,$0 (No Cost),Large (500+),Healthcare,3.6,35,0,1
Chronic Illness,Leave of Absence,Dexterity,$0 (No Cost),Large (500+),Finance/Insurance,2.9,114,1,1
Chronic Illness,Policy Change / Exemption,Communication,"$501–$2,000",Mid-size (50–499),Education,1.7,29,2,1
Sensory (Vision/Hearing),Policy Change / Exemption,Mobility,$1–$500,Small (<50),Education,12.1,18,0,1
Chronic Illness,Assistive Technology,Concentration/Focus,$1–$500,Large (500+),Education,4.5,25,1,1
Psychiatric,Leave of Absence,Dexterity,$0 (No Cost),Small (<50),Education,20.6,34,1,0
Psychiatric,Leave of Absence,Concentration/Focus,"$2,001+",Mid-size (50–499),Education,0.5,77,2,0
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Manufacturing,4.8,40,0,1
Chronic Illness,Policy Change / Exemption,Dexterity,"$501–$2,000",Small (<50),Manufacturing,1.9,13,1,0
Psychiatric,Flexible Scheduling,Mobility,"$501–$2,000",Small (<50),Education,8.5,180,2,0
Neurological,Ergonomic Equipment,Communication,$0 (No Cost),Small (<50),Education,1.1,51,1,1
Sensory (Vision/Hearing),Leave of Absence,Mobility,"$501–$2,000",Large (500+),Government/Public Sector,9.7,12,1,1
Psychiatric,Flexible Scheduling,Vision,$0 (No Cost),Mid-size (50–499),Healthcare,10.5,9,1,1
Musculoskeletal,Physical Modification,Mobility,$1–$500,Mid-size (50–499),Retail/Hospitality,7.5,8,0,1
Cognitive,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Manufacturing,7.6,24,0,1
Sensory (Vision/Hearing),Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Manufacturing,1.7,25,0,0
Psychiatric,Leave of Absence,Mobility,$0 (No Cost),Mid-size (50–499),Government/Public Sector,3.1,14,1,1
Chronic Illness,Physical Modification,Mobility,$0 (No Cost),Mid-size (50–499),Manufacturing,1.6,6,0,1
Musculoskeletal,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Technology,3.8,9,0,1
Chronic Illness,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Government/Public Sector,2.8,40,0,1
Musculoskeletal,Remote Work / Telework,Communication,$1–$500,Large (500+),Education,2.6,20,0,1
Neurological,Remote Work / Telework,Vision,$0 (No Cost),Large (500+),Education,0.6,10,0,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,14.9,27,1,1
Musculoskeletal,Assistive Technology,Mobility,"$2,001+",Mid-size (50–499),Retail/Hospitality,0.5,31,1,0
Chronic Illness,Remote Work / Telework,Vision,"$2,001+",Large (500+),Manufacturing,0.5,34,2,0
Psychiatric,Remote Work / Telework,Vision,$0 (No Cost),Small (<50),Education,0.5,26,0,1
Psychiatric,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Education,4.7,23,0,0
Musculoskeletal,Policy Change / Exemption,Mobility,$1–$500,Small (<50),Retail/Hospitality,17.4,58,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Communication,$1–$500,Large (500+),Finance/Insurance,0.5,10,1,1
Chronic Illness,Policy Change / Exemption,Mobility,$0 (No Cost),Large (500+),Finance/Insurance,0.5,21,0,1
Cognitive,Assistive Technology,Concentration/Focus,$1–$500,Mid-size (50–499),Technology,3.3,3,0,1
Musculoskeletal,Remote Work / Telework,Mobility,$0 (No Cost),Small (<50),Education,3.7,19,0,1
Musculoskeletal,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Retail/Hospitality,16.4,29,0,1
Psychiatric,Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Technology,0.5,45,0,1
Neurological,Remote Work / Telework,Stamina/Endurance,$1–$500,Mid-size (50–499),Finance/Insurance,6.5,4,1,1
Cognitive,Assistive Technology,Mobility,"$501–$2,000",Mid-size (50–499),Manufacturing,2.2,28,2,0
Sensory (Vision/Hearing),Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Manufacturing,2.3,84,1,0
Neurological,Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Healthcare,8.9,36,2,1
Musculoskeletal,Assistive Technology,Vision,$0 (No Cost),Small (<50),Government/Public Sector,1.6,8,0,1
Cognitive,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Manufacturing,4.7,19,1,0
Neurological,Leave of Absence,Stamina/Endurance,$0 (No Cost),Large (500+),Manufacturing,0.5,36,1,1
Psychiatric,Remote Work / Telework,Mobility,$1–$500,Small (<50),Manufacturing,0.5,15,0,0
Musculoskeletal,Ergonomic Equipment,Concentration/Focus,$1–$500,Mid-size (50–499),Retail/Hospitality,7.6,30,2,1
Psychiatric,Leave of Absence,Dexterity,$1–$500,Mid-size (50–499),Education,0.9,29,2,0
Psychiatric,Ergonomic Equipment,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,5.8,24,1,1
Psychiatric,Leave of Absence,Communication,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.5,7,0,1
Musculoskeletal,Flexible Scheduling,Communication,$1–$500,Large (500+),Healthcare,12.1,13,1,1
Sensory (Vision/Hearing),Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,5.7,90,1,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Technology,4.1,18,0,1
Musculoskeletal,Leave of Absence,Mobility,$0 (No Cost),Large (500+),Retail/Hospitality,6.1,20,0,0
Cognitive,Assistive Technology,Hearing,$1–$500,Large (500+),Retail/Hospitality,18.5,19,2,1
Sensory (Vision/Hearing),Remote Work / Telework,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Manufacturing,2.0,44,0,1
Neurological,Policy Change / Exemption,Communication,$1–$500,Mid-size (50–499),Government/Public Sector,8.9,20,0,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$1–$500,Mid-size (50–499),Finance/Insurance,4.2,24,0,1
Cognitive,Assistive Technology,Stamina/Endurance,$1–$500,Small (<50),Government/Public Sector,0.5,28,1,1
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,5.5,48,0,1
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,$1–$500,Large (500+),Technology,2.1,24,0,1
Cognitive,Physical Modification,Dexterity,"$501–$2,000",Mid-size (50–499),Technology,0.5,26,1,0
Neurological,Leave of Absence,Communication,"$2,001+",Small (<50),Retail/Hospitality,0.7,15,0,0
Sensory (Vision/Hearing),Flexible Scheduling,Mobility,$0 (No Cost),Mid-size (50–499),Manufacturing,0.5,31,1,1
Neurological,Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Education,11.1,38,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Concentration/Focus,$1–$500,Large (500+),Retail/Hospitality,1.4,40,0,1
Musculoskeletal,Physical Modification,Communication,$1–$500,Mid-size (50–499),Education,10.3,81,1,0
Psychiatric,Flexible Scheduling,Vision,$0 (No Cost),Small (<50),Healthcare,6.0,13,1,0
Musculoskeletal,Policy Change / Exemption,Mobility,$0 (No Cost),Mid-size (50–499),Technology,0.5,25,1,1
Psychiatric,Policy Change / Exemption,Stamina/Endurance,$0 (No Cost),Large (500+),Education,1.7,20,0,1
Chronic Illness,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Manufacturing,2.8,71,0,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,2.6,41,0,1
Neurological,Assistive Technology,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,2.8,5,1,1
Chronic Illness,Physical Modification,Mobility,$0 (No Cost),Small (<50),Retail/Hospitality,4.4,14,1,1
Chronic Illness,Assistive Technology,Stamina/Endurance,"$2,001+",Mid-size (50–499),Education,12.9,19,0,0
Musculoskeletal,Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Manufacturing,1.6,6,0,1
Neurological,Flexible Scheduling,Dexterity,$0 (No Cost),Small (<50),Technology,1.4,26,0,1
Cognitive,Ergonomic Equipment,Vision,$0 (No Cost),Small (<50),Retail/Hospitality,0.5,16,1,0
Sensory (Vision/Hearing),Assistive Technology,Dexterity,$0 (No Cost),Large (500+),Technology,3.1,83,1,1
Chronic Illness,Policy Change / Exemption,Hearing,"$2,001+",Mid-size (50–499),Finance/Insurance,4.6,31,1,1
Cognitive,Assistive Technology,Dexterity,"$501–$2,000",Mid-size (50–499),Manufacturing,1.6,18,1,1
Chronic Illness,Policy Change / Exemption,Vision,$0 (No Cost),Mid-size (50–499),Education,0.7,10,2,1
Psychiatric,Flexible Scheduling,Vision,$0 (No Cost),Large (500+),Healthcare,3.2,23,0,0
Neurological,Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Government/Public Sector,1.6,67,1,1
Psychiatric,Policy Change / Exemption,Dexterity,$0 (No Cost),Large (500+),Manufacturing,3.8,21,0,1
Sensory (Vision/Hearing),Ergonomic Equipment,Hearing,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,13.7,23,1,1
Cognitive,Remote Work / Telework,Communication,$0 (No Cost),Mid-size (50–499),Government/Public Sector,10.6,53,0,0
Neurological,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Education,5.9,30,2,1
Musculoskeletal,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Government/Public Sector,5.9,44,0,1
Psychiatric,Remote Work / Telework,Vision,$0 (No Cost),Mid-size (50–499),Education,11.2,32,1,0
Cognitive,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Technology,1.4,31,0,1
Psychiatric,Policy Change / Exemption,Dexterity,$0 (No Cost),Mid-size (50–499),Education,5.7,5,0,1
Psychiatric,Remote Work / Telework,Dexterity,$0 (No Cost),Mid-size (50–499),Healthcare,7.5,9,1,1
Psychiatric,Physical Modification,Hearing,$0 (No Cost),Small (<50),Finance/Insurance,3.8,28,0,1
Psychiatric,Flexible Scheduling,Mobility,$0 (No Cost),Small (<50),Healthcare,0.5,11,0,1
Musculoskeletal,Flexible Scheduling,Dexterity,$0 (No Cost),Large (500+),Technology,2.3,23,0,1
Neurological,Physical Modification,Dexterity,$0 (No Cost),Mid-size (50–499),Finance/Insurance,10.5,8,2,1
Musculoskeletal,Remote Work / Telework,Hearing,"$501–$2,000",Large (500+),Education,8.5,53,1,1
Psychiatric,Physical Modification,Vision,"$501–$2,000",Mid-size (50–499),Education,5.3,13,3,0
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Technology,0.5,10,0,1
Musculoskeletal,Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Large (500+),Manufacturing,3.5,7,1,1
Psychiatric,Leave of Absence,Concentration/Focus,$1–$500,Small (<50),Government/Public Sector,3.3,39,1,0
Sensory (Vision/Hearing),Policy Change / Exemption,Hearing,$1–$500,Large (500+),Healthcare,0.5,23,2,1
Psychiatric,Flexible Scheduling,Mobility,$0 (No Cost),Small (<50),Technology,1.9,52,0,1
Musculoskeletal,Remote Work / Telework,Dexterity,$0 (No Cost),Mid-size (50–499),Manufacturing,3.8,15,2,1
Musculoskeletal,Remote Work / Telework,Dexterity,$0 (No Cost),Large (500+),Finance/Insurance,4.6,9,3,1
Musculoskeletal,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Retail/Hospitality,6.3,22,1,0
Psychiatric,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Healthcare,1.1,59,1,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Technology,4.8,5,0,0
Chronic Illness,Remote Work / Telework,Vision,$0 (No Cost),Small (<50),Technology,2.1,30,0,1
Psychiatric,Remote Work / Telework,Communication,$0 (No Cost),Small (<50),Education,0.5,32,2,1
